Date,Topics
04-06-2025,Historical Underpinning & Evolution Regulating Act (1773) to Independence Act (1947)
05-06-2025,Constituent Assembly Objective Resolution
06-06-2025,Enactment & Enforcement of Constitution Features
07-06-2025,Written Flexible & Rigid
08-06-2025,Federal & Unitary Parliamentary Form of Government (Presidential vs. Parliamentary Type of Government)
09-06-2025,Amendments List of Significant Amendments & Their Provisions
10-06-2025,Procedure for Amending Constitution Significant Provisions
11-06-2025,Fundamental Rights Directive Principles of State Policy
12-06-2025,Judicial Review Universal Adult Franchise
13-06-2025,Single Citizenship Separation of Powers
14-06-2025,Basic Structure The Doctrine
15-06-2025,Judgments & Cases Functions & Responsibilities of the Union and the States
16-06-2025,7th Schedule Legislative Functions
17-06-2025,Financial Functions Administrative & Quasi-Judicial Functions
18-06-2025,Issues & Challenges Pertaining to the Federal Structure Federal Structure in India - Is India truly Federal?
19-06-2025,Cooperative & Competitive Federalism Centre-State Relations
20-06-2025,Legislative Relations Administrative Relations
21-06-2025,Financial Relations Trends in Centre-State Relations
22-06-2025,Inter-State Relations Inter-state Water Disputes
23-06-2025,"Inter-State Councils Public Acts, Records and Judicial Proceedings"
24-06-2025,Inter-State Trade and Commerce Zonal Councils
25-06-2025,Emergency Provisions Role of Governor
26-06-2025,"Reports of Various Commissions 2nd ARC, Punchhi, Sarkaria, etc."
27-06-2025,Devolution of Powers & Finances to Local Levels & Challenges Therein Role of State Government
28-06-2025,Role of State Finance Commission 11th & 12th Schedule
29-06-2025,Reasons for Ineffective Performance Panchayat Devolution Index ( NITI Aayog)
30-06-2025,Steps That Can Be Taken to Improve Their Performance Separation of Powers Between Various Organs
01-07-2025,Doctrine of Separation of Power Separation of Power in Indian Constitution
02-07-2025,Doctrine of Checks & Balances Provisions for Checks & Balances in Indian Constitution
03-07-2025,"Related Judgments - Golaknath case, Kesavananda Bharati, Indira Gandhi Vs Raj Narain, Ram Jawaya vs Punjab Dispute Redressal Mechanisms and Institutions"
04-07-2025,RTI PIL
05-07-2025,"Tribunals, etc. Comparison of the Indian Constitutional Scheme With That of Other Countries Parliament & State Legislatures"
06-07-2025,"Structure, Functioning, Conduct of Business, Powers & Privileges Written Constitution"
07-07-2025,Blend of Rigidity and Flexibility Federal System with Unitary Bias
